team_name,prop_direct,prop_gk_involved,avg_passes,avg_duration,avg_players_involved,build_ups_per_game,prop_channel_center,prop_channel_half_space_left,prop_channel_half_space_right,prop_channel_wide_left,prop_channel_wide_right,build_up_carries
Liverpool,0.193,0.466,2.39,8.08,2.13,22.68,0.306,0.172,0.201,0.13,0.191,74
Arsenal,0.187,0.46,2.64,9.29,2.22,18.18,0.382,0.172,0.174,0.117,0.155,72
Manchester U,0.22,0.42,2.76,9.49,2.48,26.08,0.317,0.171,0.155,0.187,0.171,76
Newcastle,0.132,0.291,2.49,8.61,2.18,21.18,0.291,0.196,0.155,0.181,0.176,61
West Ham,0.261,0.344,2.66,8.76,2.31,24.74,0.264,0.159,0.184,0.18,0.214,86
Aston Villa,0.147,0.529,2.63,10.36,2.37,22.34,0.386,0.161,0.164,0.159,0.13,102
Manchester City,0.127,0.565,2.68,10.26,2.3,21.16,0.414,0.136,0.168,0.121,0.162,66
Everton,0.261,0.408,2.02,6.88,1.84,19.5,0.37,0.14,0.144,0.193,0.152,47
Tottenham,0.116,0.443,2.56,9.27,2.27,25.13,0.316,0.172,0.18,0.177,0.155,111
Fulham,0.227,0.47,2.46,8.54,2.26,25.58,0.333,0.155,0.154,0.191,0.166,74
Chelsea,0.168,0.474,2.43,8.35,2.2,25.45,0.415,0.165,0.132,0.149,0.139,82
Wolverhampton,0.235,0.323,2.33,8.22,2.18,24.62,0.332,0.168,0.161,0.193,0.146,81
Southampton,0.169,0.397,2.65,8.83,2.36,25.11,0.354,0.17,0.184,0.142,0.15,103
Crystal Palace,0.247,0.301,2.15,8.04,2.05,19.76,0.294,0.158,0.165,0.218,0.164,49
Leicester,0.199,0.382,2.41,7.7,2.17,22.82,0.398,0.161,0.14,0.161,0.14,65
Bournemouth,0.226,0.362,1.98,6.99,1.86,18.06,0.337,0.166,0.162,0.189,0.146,51
Brighton,0.158,0.527,2.55,9.33,2.21,23.53,0.388,0.183,0.145,0.158,0.125,86
Nottingham,0.275,0.133,1.86,6.06,1.8,13.05,0.286,0.201,0.139,0.215,0.159,62
Ipswich Town,0.197,0.359,2.58,9.31,2.34,20.87,0.314,0.179,0.169,0.177,0.161,79
Brentford FC,0.162,0.531,2.79,10.51,2.37,25.34,0.333,0.168,0.142,0.178,0.179,88
